SFm,EDm,RSm,SEm,Em,El,RGm,Asm,Rm,RTm,RSd,ESm,RRm,Km,RTd,RGd,M1m,class
85.44354,3.384718,33.941217,0.614644,0.166019,0.002977,42.209257,2059036.753833,473.704046,33.954373,17.790425,0.813407,14.897753,59861227791.2121,17.27031,22.926881,4.845247,2
97.149313,3.288136,62.021,0.760811,0.146684,0.002894,56.93993,2287757.541525,582.402861,52.632592,29.645323,0.880146,66.49317,60514591349.162224,30.959783,28.832975,2.326684,2
88.373145,2.787919,101.280999,0.717172,0.179455,0.002396,114.396262,2129435.018053,896.041497,104.897454,59.780134,0.855564,100.159672,82899936386.7048,75.402666,69.529613,2.939047,2
93.302483,3.081717,90.361408,0.723478,0.147087,0.002632,111.778935,1803281.154731,609.933886,105.62137,37.497516,0.883595,66.381479,94572653589.05144,74.413444,57.74232,3.311717,2
62.684703,2.256887,94.479314,0.731366,0.116546,0.002933,113.648722,2393705.914712,321.008881,113.634142,47.498038,0.880795,73.231627,35272015343.67444,62.518038,57.518241,2.378476,2
94.362046,2.253148,89.253502,0.678918,0.191828,0.002676,88.433921,2346329.370831,1067.107857,86.085924,59.611904,0.848743,86.992972,75554403319.7378,68.52843,64.202043,2.972474,2
100.544043,2.256887,110.254601,0.699995,0.219508,0.003616,119.443187,3904648.522633,1128.524831,114.042974,76.233072,0.868536,113.276932,103399436220.7486,85.905084,76.780992,2.642582,2
64.670869,1.36077,86.884885,0.705345,0.153074,0.001447,75.408754,814144.322307,681.190181,59.402697,45.128828,0.85254,98.622203,25290317116.135174,30.234002,33.983278,3.115732,2
107.989853,2.783049,94.493071,0.742048,0.17247,0.002033,132.573614,1543696.11753,749.775712,118.197619,46.892101,0.90323,78.82777,90724872290.62756,81.608014,76.5715,2.380754,3
49.796342,1.192843,112.332119,0.673298,0.103189,0.001629,105.695269,832032.73179,270.476489,91.335173,65.564245,0.880456,89.783934,67159846040.72956,54.897695,58.244443,3.373855,3
29.977885,0.199137,121.384086,0.628784,0.081818,0.001417,129.100276,860247.079287,80.099393,101.929735,73.978526,0.887398,105.17773,24514354287.91043,78.878986,81.282272,3.941486,3
55.589633,1.268781,125.750247,0.684112,0.121517,0.001451,147.240408,1139971.794374,451.199549,136.737957,63.21701,0.862642,106.985142,40804941380.75768,77.443041,76.677237,2.931418,3
92.307486,2.010724,99.768207,0.647971,0.190419,0.001927,105.757867,1722553.813395,954.516072,93.776651,74.567989,0.818109,130.371523,193146717669.39667,102.131999,104.892115,4.737928,3
82.003389,1.822399,94.363906,0.684828,0.161379,0.002224,123.782799,2340264.320575,470.079282,109.848709,46.296831,0.879534,65.594025,115361061616.95848,75.427755,71.238804,3.518115,3
40.169502,1.371696,136.284511,0.608327,0.123462,0.002376,156.887355,2397419.3264,462.335637,136.082222,74.743376,0.778965,104.664666,58865423853.98601,93.459172,80.744175,5.290259,3
53.465109,1.526718,112.86183,0.670765,0.104574,0.001995,138.461448,1158599.137595,174.033019,116.34425,61.100078,0.858675,91.483764,52290017757.37476,84.063723,79.359531,3.304742,3
122.574707,2.680965,107.481077,0.830567,0.180803,0.002614,129.355674,2227184.644371,1426.942618,109.759179,57.372087,0.932528,88.378427,97785223947.18929,70.555189,69.017097,1.282553,3
46.124002,1.206434,133.465956,0.613991,0.138904,0.002249,133.44287,1654403.838145,342.210215,114.396976,71.447967,0.778571,104.941632,71021115533.24815,81.371162,85.100362,5.400731,3
94.46716,1.692665,91.003471,0.768072,0.170667,0.002107,110.386486,2025839.695607,1798.492917,102.239417,66.127867,0.906846,110.647261,87852929811.5125,84.065979,76.446551,1.915426,3
82.311543,2.077748,127.311777,0.661808,0.190064,0.003409,138.74903,2834859.488313,591.233899,129.45667,64.57828,0.847362,88.712417,87171146800.29582,73.490307,75.594877,3.36077,3
64.289954,1.838235,119.061373,0.764475,0.122043,0.001509,128.22969,961088.416829,496.313991,103.70195,68.071294,0.901841,101.295899,63073777001.78768,79.472895,81.27189,1.968085,3
82.933432,1.988072,110.746592,0.768262,0.139359,0.001763,126.258108,1210708.678863,495.576771,114.21475,54.085617,0.898912,85.572645,99009404261.47144,80.576976,71.384432,2.022666,3
32.287831,0.463623,111.76322,0.696974,0.073071,0.001211,143.475703,576502.413643,63.026819,124.086465,51.795043,0.879019,72.923877,20910065299.4386,75.213607,66.892426,3.09554,3
